,repository_name,language
85,ftv-integration-sdk-sample-app,Kotlin
86,ftv-livetv-sample-tv-app,Java
87,gameon-sample-game-unity,C#
88,gameon-starter-kit-unity,C#
89,git-commit-template,JavaScript
90,glad,JavaScript
91,golang-gitoperations,Go
92,gpt-oss.java,Java
93,halo-third-party-sdk-for-java,Java
94,halo-third-party-sdk-for-node-js,TypeScript
95,halo-third-party-sdk-for-python,Python
96,hawktracer,C++
97,image-misspell-coling2020,
98,image-to-recipe-transformers,Python
99,informative-diverse-hard-negative-sampling,Python
100,ion-cascading-config,Java
101,ion-object-mapper-dotnet,C#
102,jekyll-doc-project,HTML
103,kmp-logger,Kotlin
104,kqr,
105,lib-3d-scene-viewer,TypeScript
106,login-with-amazon-oscommerce,
107,login-with-amazon-wordpress,
108,media3-external-port,
109,merlin-on-demand-callgraph,JavaScript
110,metalearn-leap,Python
111,milan,Scala
112,MonitoringCustomMetrics,Python
113,mrc-net-6d-pose,Python
114,multiconer-baseline,Python
115,multilingual-keyphrase-generation,Python
116,multimodal-affinities,Python
117,MXFusion,Python
118,nimbus-jose-jwt_aws-kms-extension,Java
119,node-jose_aws-kms-extension,TypeScript
120,openapi-swift-code-generate,Swift
121,orthogonal-additive-gaussian-processes,Python
122,oss-attribution-builder,TypeScript
123,oss-contribution-tracker,TypeScript
124,oss-dashboard,Ruby
125,pecos,Python
126,pretraining-or-self-training,Python
127,python-jose_aws-kms-extension,Python
128,rdma-core,C
129,refuel-open-domain-qa,Python
130,rete-thewebconf-2022,Python
131,rheoceros,Python
132,robotiq-gripper-interface,C++
133,selling-partner-agentic-toolkit,
134,selling-partner-api-docs,
135,selling-partner-api-models,Mustache
136,selling-partner-api-php-release,PHP
137,selling-partner-api-postman,
138,selling-partner-api-samples,Java
139,selling-partner-api-sdk,PHP
140,seqzero,Python
141,service-model-swift-code-generate,Swift
142,sid-provision,Python
143,sid-signing-tool,Python
144,sketch-constructor,JavaScript
145,smoke-aws,Swift
146,smoke-aws-credentials,Swift
147,smoke-aws-generate,Swift
148,smoke-aws-support,Swift
149,smoke-dynamodb,Swift
150,smoke-framework,Swift
151,smoke-framework-application-generate,Swift
152,smoke-framework-examples,Swift
153,smoke-http,Swift
154,sparse-vqvae,Python
155,ss-aga-kgc,Python
156,sto-transformer,Python
157,supply-chain-simulation-environment,Python
158,swift-package-manager-amazon-aps,Swift
159,swift-package-manager-amazon-aps-admob,Swift
160,swift-package-manager-amazon-aps-inmobi,Swift
161,swift-package-manager-amazon-aps-mobilefuse,Swift
162,swift-package-manager-amazon-aps-verve,Swift
163,tiny-attribution-generator,TypeScript
164,traffic-quality-smart-pixel-loader,TypeScript
165,trans-encoder,Python
166,user-satisfaction-modeling,Python
167,workspace-resolver,JavaScript
168,ws-vae,Python
169,xfer,Python
170,zeek-plugin-bacnet,Zeek
171,zeek-plugin-enip,Zeek
172,zeek-plugin-profinet,Zeek
173,zeek-plugin-s7comm,Zeek
174,zeek-plugin-tds,Zeek
175,zero-shot-rlhr,Python
